iter	MultiClass
0	1.067810059
1	1.040125812
2	1.015136325
3	0.991870051
4	0.9708068135
5	0.9510814316
6	0.9323942594
7	0.9151381292
8	0.898609416
9	0.8828854243
10	0.8682024546
11	0.8540872158
12	0.8408938386
13	0.8285942138
14	0.8169184947
15	0.8057190776
16	0.7949239327
17	0.7844424892
18	0.7747482507
19	0.7651862392
20	0.7561881012
21	0.7475580357
22	0.7394007853
23	0.7311445404
24	0.7233179801
25	0.7158547852
26	0.7088989942
27	0.7018255468
28	0.6955169563
29	0.6892176587
30	0.6833253729
31	0.6770121973
32	0.6712321236
33	0.6655586432
34	0.6600820418
35	0.6547687707
36	0.6495847841
37	0.6447741027
38	0.6397110923
39	0.6352221741
40	0.6306386468
41	0.6259488242
42	0.6214705733
43	0.6176302159
44	0.6131628965
45	0.608924448
46	0.6045131681
47	0.6003782365
48	0.5966555682
49	0.5926217299
50	0.5888676673
51	0.5853679686
52	0.5817831559
53	0.5783662903
54	0.5748734449
55	0.5711881307
56	0.5677719173
57	0.5645557554
58	0.5613118957
59	0.5582204601
60	0.555058736
61	0.5519207919
62	0.5490605709
63	0.5463132335
64	0.54358393
65	0.5408031983
66	0.53804494
67	0.5353184693
68	0.5326778378
69	0.5303260894
70	0.5278199369
71	0.5253104247
72	0.5226898403
73	0.5203614768
74	0.5180096109
75	0.5156688409
76	0.5135006268
77	0.5110762357
78	0.5089105712
79	0.5066482217
80	0.504505885
81	0.5023750766
82	0.5003949684
83	0.4983701558
84	0.4962679879
85	0.4943068109
86	0.4922577975
87	0.4903178759
88	0.4883216651
89	0.4863866761
90	0.4845826133
91	0.4827749504
92	0.4810265143
93	0.4791368955
94	0.477456885
95	0.4756702189
96	0.4740354432
97	0.4722204679
98	0.4705777747
99	0.469092575
100	0.4676043943
101	0.466098012
102	0.4645286074
103	0.4629788709
104	0.4613205002
105	0.4595639544
106	0.4579754797
107	0.45637075
108	0.4549672505
109	0.4534643536
110	0.4518545399
111	0.4503928451
112	0.4489138477
113	0.4475820225
114	0.4462588236
115	0.4449643513
116	0.443565107
117	0.4422121203
118	0.4410116654
119	0.4394647331
120	0.4381635873
121	0.436864018
122	0.4355241678
123	0.4343894315
124	0.4332246719
125	0.432024983
126	0.430849026
127	0.429636213
128	0.4284767196
129	0.4273063764
130	0.4259628961
131	0.4247380417
132	0.4236910148
133	0.4226219608
134	0.421606795
135	0.4204277063
136	0.4193485244
137	0.4183173498
138	0.4171198828
139	0.4159384249
140	0.4150234694
141	0.4139710701
142	0.4129892746
143	0.4119333547
144	0.4108429777
145	0.4098607137
146	0.4089393144
147	0.4079451985
148	0.4069845862
149	0.406027888
150	0.4050893181
151	0.404076582
152	0.4032171062
153	0.4023221168
154	0.4013556179
155	0.4005185136
156	0.3996091997
157	0.3987903476
158	0.398055461
159	0.3970822546
160	0.3961142101
161	0.395191757
162	0.3944410319
163	0.3935674087
164	0.3926884789
165	0.3918376915
166	0.3909764857
167	0.3901497535
168	0.3894619646
169	0.3886197634
170	0.3878612894
171	0.3871137756
172	0.3862442424
173	0.3855213402
174	0.384730157
175	0.3839297169
176	0.383124568
177	0.3822689992
178	0.3815047072
179	0.380669082
180	0.3800224099
181	0.3792956009
182	0.3785207831
183	0.3777616399
184	0.3771286084
185	0.3764835203
186	0.3758193433
187	0.3751062269
188	0.3744126206
189	0.3737938859
190	0.3730732466
191	0.3723535498
192	0.3717292394
193	0.3710943983
194	0.3705189832
195	0.3698653097
196	0.3692025109
197	0.3685392545
198	0.3679709114
199	0.3673487786
200	0.3666657723
201	0.3660756344
202	0.3654965365
203	0.3648439174
204	0.364149341
205	0.3635007446
206	0.3629204173
207	0.3623332642
208	0.3618200546
209	0.3611964863
210	0.3606225133
211	0.3599357747
212	0.3594420353
213	0.3588810628
214	0.3583104604
215	0.3578676078
216	0.3572457854
217	0.3567091132
218	0.3561708379
219	0.3555885216
220	0.3550479196
221	0.354493283
222	0.3539332164
223	0.3532841658
224	0.3527198089
225	0.3521092023
226	0.3515905183
227	0.3509949244
228	0.350398335
229	0.3498686657
230	0.3493120051
231	0.3487377259
232	0.3483152193
233	0.3477626237
234	0.3472609228
235	0.3466678
236	0.3462266793
237	0.3457385098
238	0.3452233447
239	0.3446257644
240	0.3441727938
241	0.3436698053
242	0.3431415775
243	0.3426178038
244	0.3420992347
245	0.3416452158
246	0.3412134083
247	0.3407255303
248	0.340279019
249	0.3398581707
250	0.3394193436
251	0.3389955871
252	0.3385863266
253	0.3381998065
254	0.33776084
255	0.3373223487
256	0.3369126991
257	0.3364461366
258	0.3360246203
259	0.335600601
260	0.3351533911
261	0.3346824943
262	0.3342437828
263	0.3338417318
264	0.333455629
265	0.3330160251
266	0.3325383103
267	0.3321584929
268	0.3317516579
269	0.3312361467
270	0.3308752554
271	0.3305010813
272	0.3301307293
273	0.3297111572
274	0.3293103991
275	0.3289129675
276	0.328499167
277	0.3280791255
278	0.3276449486
279	0.3272735174
280	0.3269176573
281	0.3265193407
282	0.3261653822
283	0.325819312
284	0.325434169
285	0.3250797408
286	0.3246610388
287	0.3242874139
288	0.3239562608
289	0.3236474694
290	0.3233149066
291	0.3229266341
292	0.3225472314
293	0.3221619496
294	0.3217781735
295	0.3214059664
296	0.3210555656
297	0.320737272
298	0.320429533
299	0.319992893
