iter	Passed	Remaining
0	233	69916
1	307	45855
2	382	37909
3	456	33757
4	529	31242
5	599	29375
6	670	28085
7	752	27471
8	854	27627
9	944	27387
10	1081	28416
11	1193	28637
12	1301	28727
13	1401	28638
14	1507	28645
15	1600	28406
16	1686	28075
17	1774	27795
18	1864	27576
19	1953	27355
20	2038	27077
21	2132	26952
22	2202	26529
23	2277	26186
24	2344	25787
25	2418	25488
26	2481	25090
27	2549	24765
28	2616	24454
29	2681	24137
30	2749	23861
31	2816	23590
32	2885	23344
33	2951	23087
34	3019	22861
35	3090	22666
36	3162	22480
37	3232	22285
38	3350	22424
39	3428	22284
40	3499	22105
41	3575	21961
42	3644	21783
43	3729	21698
44	3800	21537
45	3871	21375
46	3947	21247
47	4015	21080
48	4084	20923
49	4162	20814
50	4246	20735
51	4317	20590
52	4383	20430
53	4450	20275
54	4516	20120
55	4591	20005
56	4659	19865
57	4728	19730
58	4800	19608
59	4866	19464
60	4936	19340
61	5012	19242
62	5087	19138
63	5157	19017
64	5228	18904
65	5296	18777
66	5365	18659
67	5429	18523
68	5495	18397
69	5562	18276
70	5632	18166
71	5698	18044
72	5767	17934
73	5837	17828
74	5905	17717
75	5970	17596
76	6048	17518
77	6121	17422
78	6183	17297
79	6247	17181
80	6312	17067
81	6377	16954
82	6436	16827
83	6500	16715
84	6562	16599
85	6623	16481
86	6683	16362
87	6749	16260
88	6809	16145
89	6871	16032
90	6938	15935
91	6999	15824
92	7068	15733
93	7133	15632
94	7193	15522
95	7257	15421
96	7319	15317
97	7383	15218
98	7441	15108
99	7503	15007
100	7564	14905
101	7623	14799
102	7688	14705
103	7751	14607
104	7816	14516
105	7884	14429
106	7947	14335
107	8009	14239
108	8070	14141
109	8131	14045
110	8196	13956
111	8258	13863
112	8319	13768
113	8385	13682
114	8450	13593
115	8509	13498
116	8573	13409
117	8636	13320
118	8710	13249
119	8780	13171
120	8846	13087
121	8909	12999
122	8971	12910
123	9030	12817
124	9091	12727
125	9151	12637
126	9213	12550
127	9274	12462
128	9333	12372
129	9399	12291
130	9462	12207
131	9519	12115
132	9579	12028
133	9642	11944
134	9701	11857
135	9764	11774
136	9829	11694
137	9889	11609
138	9958	11534
139	10030	11463
140	10092	11381
141	10152	11296
142	10209	11209
143	10275	11131
144	10335	11048
145	10393	10962
146	10451	10878
147	10509	10793
148	10572	10714
149	10628	10628
150	10689	10548
151	10751	10468
152	10809	10385
153	10869	10305
154	10927	10222
155	10991	10146
156	11055	10069
157	11115	9990
158	11174	9909
159	11240	9835
160	11303	9758
161	11365	9681
162	11420	9598
163	11481	9521
164	11542	9443
165	11603	9366
166	11663	9289
167	11728	9215
168	11792	9140
169	11858	9068
170	11935	9004
171	12004	8933
172	12083	8870
173	12154	8801
174	12225	8732
175	12298	8664
176	12368	8594
177	12441	8527
178	12515	8460
179	12593	8395
180	12664	8326
181	12737	8258
182	12805	8187
183	12877	8118
184	12947	8048
185	13016	7977
186	13086	7907
187	13153	7836
188	13216	7762
189	13285	7691
190	13352	7620
191	13420	7548
192	13485	7476
193	13557	7407
194	13626	7337
195	13701	7270
196	13774	7201
197	13844	7132
198	13917	7063
199	13991	6995
200	14063	6926
201	14126	6853
202	14192	6781
203	14266	6713
204	14334	6642
205	14421	6580
206	14494	6511
207	14570	6444
208	14639	6373
209	14723	6310
210	14796	6241
211	14886	6179
212	14949	6106
213	15038	6043
214	15124	5979
215	15209	5914
216	15302	5852
217	15387	5787
218	15461	5718
219	15538	5650
220	15611	5580
221	15683	5510
222	15758	5441
223	15837	5373
224	15907	5302
225	15979	5232
226	16044	5159
227	16119	5090
228	16197	5022
229	16271	4952
230	16347	4882
231	16419	4812
232	16486	4740
233	16562	4671
234	16636	4601
235	16708	4531
236	16773	4458
237	16839	4386
238	16910	4315
239	16992	4248
240	17066	4178
241	17140	4108
242	17213	4037
243	17283	3966
244	17360	3897
245	17434	3827
246	17503	3755
247	17581	3686
248	17656	3616
249	17735	3547
250	17806	3476
251	17878	3405
252	17957	3335
253	18023	3264
254	18105	3195
255	18184	3125
256	18258	3054
257	18333	2984
258	18402	2913
259	18476	2842
260	18550	2771
261	18626	2701
262	18702	2631
263	18775	2560
264	18848	2489
265	18923	2418
266	19006	2349
267	19083	2278
268	19159	2207
269	19241	2137
270	19314	2066
271	19396	1996
272	19472	1925
273	19546	1854
274	19625	1784
275	19705	1713
276	19794	1643
277	19862	1571
278	19930	1500
279	19997	1428
280	20061	1356
281	20123	1284
282	20180	1212
283	20240	1140
284	20309	1068
285	20366	996
286	20434	925
287	20499	854
288	20557	782
289	20616	710
290	20672	639
291	20740	568
292	20799	496
293	20867	425
294	20934	354
295	20995	283
296	21055	212
297	21114	141
298	21173	70
299	21241	0
