Feature,Missing_Values,Data_Type
Vehicle_Type,0,str
Crop_Type,0,str
Harvest_Date,0,str
Crop_Yield,0,float64
Storage_Temperature,0,float64
Storage_Humidity,0,float64
Fuel_Consumption,0,float64
Route_Distance,0,float64
Delivery_Time,0,float64
Traffic_Level,0,float64
Temperature,0,float64
Humidity,0,float64
Vehicle_Load_Capacity,0,float64
Vibration_Level,0,float64
Queue_Time,0,float64
Weather_Impact,0,float64
Station_Capacity,0,float64
Operational_Cost,0,float64
Energy_Consumption,0,float64
IoT_Sensor_Reading_Temperature,0,float64
IoT_Sensor_Reading_Humidity,0,float64
IoT_Sensor_Reading_Light,0,float64
Warehouse_Storage_Time,0,float64
Inventory_Levels,0,int64
Fuel_Costs,0,float64
Spoilage_Risk,0,float64
Efficiency_Ratio,0,float64
Quality_Maintenance_Ratio,0,float64
