Feature,Importance
Storage_Temperature,21.572937352460297
Warehouse_Storage_Time,20.51248522041707
Delivery_Time,9.150001695184576
Storage_Humidity,7.537746901092822
Traffic_Level,7.536682779800654
Vibration_Level,7.429734505653444
Weather_Impact,7.413677928193334
Route_Distance,7.167819307912197
Quality_Maintenance_Ratio,6.166952406353852
Fuel_Consumption,2.915343540474815
IoT_Sensor_Reading_Temperature,1.9915051544206472
IoT_Sensor_Reading_Humidity,0.3856834808640113
Fuel_Costs,0.21942972717227707
IoT_Sensor_Reading_Light,0.0
Queue_Time,0.0
Humidity,0.0
Temperature,0.0
Vehicle_Type_Mini Truck,0.0
Vehicle_Type_Refrigerated Truck,0.0
Vehicle_Type_Truck,0.0
Vehicle_Type_Van,0.0
Crop_Type_Barley,0.0
Crop_Type_Corn,0.0
Crop_Type_Onion,0.0
Crop_Type_Potato,0.0
Crop_Type_Rice,0.0
Crop_Type_Soybean,0.0
Crop_Type_Tomato,0.0
Crop_Type_Wheat,0.0
