Feature,NaNs,Infinities,Corrupt_Percentage
Unnamed: 0,0,0,0.0
Vehicle_Type,0,0,0.0
Crop_Type,0,0,0.0
Harvest_Date,0,0,0.0
Crop_Yield,0,53249,99.89494418910046
Storage_Temperature,0,0,0.0
Storage_Humidity,0,0,0.0
Fuel_Consumption,0,0,0.0
Route_Distance,0,1587,2.9772066410280464
Delivery_Time,0,0,0.0
Traffic_Level,0,0,0.0
Temperature,0,0,0.0
Humidity,0,0,0.0
Vehicle_Load_Capacity,0,53303,99.99624800675359
Vibration_Level,0,0,0.0
Queue_Time,0,0,0.0
Weather_Impact,0,0,0.0
Station_Capacity,0,52746,98.9513178876278
Operational_Cost,0,51555,96.71700590938937
Energy_Consumption,0,52590,98.65866241440764
IoT_Sensor_Reading_Temperature,0,0,0.0
IoT_Sensor_Reading_Humidity,0,0,0.0
IoT_Sensor_Reading_Light,0,2261,4.2416283650689435
Warehouse_Storage_Time,0,0,0.0
Inventory_Levels,0,53305,100.0
Fuel_Costs,0,0,0.0
Spoilage_Risk,0,0,0.0
Efficiency_Ratio,0,51555,96.71700590938937
Quality_Maintenance_Ratio,0,0,0.0
