,Spoilage_Risk
Route_Distance,0.006952971576323967
Storage_Humidity,0.0057831009911495975
IoT_Sensor_Reading_Humidity,0.0038555473960885187
Humidity,0.0030561924636999262
IoT_Sensor_Reading_Temperature,0.0027314926131171147
Storage_Temperature,0.002640116462114782
Traffic_Level,0.002111858925994084
Warehouse_Storage_Time,0.0013066956874007107
Fuel_Costs,0.0010579038080022326
Quality_Maintenance_Ratio,0.00040936579261573983
Vibration_Level,-0.0005049042108597752
Delivery_Time,-0.0007110955972165678
Temperature,-0.0007700701412946757
Queue_Time,-0.0008224922953324074
IoT_Sensor_Reading_Light,-0.0025817602122830915
Fuel_Consumption,-0.0050331517707571435
Weather_Impact,-0.005147969873941094
